lex,lex_arb,root,def,src,id,lex_uncorrected,pg,dialect,phon,Cv,sem,ref,pos,etym,lex_arb2,def_arb,measure,imalah
baʕd,بعد,bʕd,"often takes verbal pronominal suffixes, cf. [188]; [545]; [958]; [1093]; R 26. [a] ""still"" 16 [§ 4.6 example 34]. baʕdakum ... 30 ""you're still ..."" [b] ""more"". dris baʕdik 17 ""[go and] study more!"" [c] + negative, ""not yet"" 5,7 mā ʕamilteh baʕdni 11* ""I haven't fixed it yet"". 29 often said baʕdeh for baʕd, e.g. baʕdeh šahr ""after a month"". The pan-Arabic colloquial baʕdayn ""afterwards"" is more common than ḫlēf [450].",Brockett 1985,118,,61,,,,,,adv,,,,,check def ē
"baʕʕar**, ybaʕʕir** 7*,11*",بعر/ يبعر,bʕd,"""to defecate"", of animals. [680]; [1619]; W baʕr ""... dung"".",Brockett 1985,119,,61,,,,livestock,,vi,,,,II,
"baʕīr 16,23,24",بعير,bʕr,"""a mature male camel"".",Brockett 1985,120,,61,,,,livestock,"W ""camel"".",n,,,,,
bġām 17*,بغام,bġm,"pl. ""stupid"".",Brockett 1985,121,,61,,,,,"R 63; L 231 I ""... to speak obscurely ...""",adj,,,,,check lex
bkār* 27,بكار,bkr,"""she-camels not yet mothers"".",Brockett 1985,122,,61,,,,,"W bakr ""young camel"".",n,,,,,ā > ā
"bikr 3,9,21",بكر,bkr,"""[the] first cut of a new lucerne-plant"". The second and third are called ṯenu and ṯilṯ, after which there are no special names.",Brockett 1985,123,,61,,,,,"Wilkinson 96 al-ḏikr; W ""... firstling ...""",n,,,,,
"bēkir 9,12*,17*",باكر,bkr,"[544] ""tomorrow, tomorrow-morning"". wara bēkir 2,19*,21* ""the day after tomorrow"", for which the pan-Arabic baʕd bukra is heard more and more.",Brockett 1985,124,,61,,ā > ē,,,"W I ""to set out early in the morning ...""",adv,,,,,ā > ē
bakkār 13*,بكار,bkr,"""pliers"".",Brockett 1985,125,,62,,,,tools,[1378].,n,,,,,check lex
"bākūra, pl. bwākīr 12*,19*,30",باكورة,bkr,"""a small cane crook"" for chiding animals or just carrying under the arm.",Brockett 1985,126,,62,,,,,"[1270a]; H bākūr ""a small crooked staff"" (Syrian).",n,,,,,ā > ā
bukum,بكم,bkm,"""dumb"". ma yaʕrif il-ḥaki, bukum 12 ""he doesn't know how to speak, he's dumb"".",Brockett 1985,127,,62,,,,,[1183]; W abkam.,adj,,,,,
"belbel, ybelbel 13*,25*",بلبل/ يبلبل,blbl,"""noisily to want the female"", of a he-goat.",Brockett 1985,128,,62,,,,livestock,"Onomatopoeic; W v.t. ""... to rouse ...""",vi,,,,I,
"beled, yiblid 1,3",بلد/ يبلد,bld,"[il-baḥr] 1,3 ""to measure [sea-depth]"".",Brockett 1985,129,,62,,,,,,vt,,,,I,
"belled**, tbelled** 26",بلد/ تبلد,bld,"= I. batbelled il-māy, kem buld 26 ""you plumb the water [to see] how many fathoms"".",Brockett 1985,130,,62,,,,,"R 163; L 246 I and II ""... to cast oneself down on the ground ...""; denominative from [131]?",vt,,,,II,
"buld / bild 1,3,26",بلد,bld,"""a measurement for sea-depth"" about a fathom.",Brockett 1985,131,,62,,,,,"EADS 80 bild/bill ""(sounding) lead"".",n,,,,,
"beled, pl. bild 23,29 / buldēn 28 / blēd 15,23 / blēdīn 11,30",بلد/ بلدان/ بلدين,bld,"""a village""(W), ""a settlement"". Beni Ḫālid ḥadr, hel blēdīn [340] 17 ""the Beni Ḫālid are settled, inhabitants of villages"".",Brockett 1985,132,,62,,ā > ē,,,,n,,,,,ā > ē
"bǣldi, pl. bwǣldi 12*,13*",بالدي,bld,"""a bucket"".",Brockett 1985,133,,62,,,,,"[254]; [701]; Hindi bāltī, from Portuguese balde, HJ 53.",n,,,,,ā > ǣ
"ibtalaš**, yabtališ** 7,17",ابتلش/ يبتلش,blš,"""to be very busy"", with work or guests.",Brockett 1985,134,,62,,,,,"[568]; Jb 834 ballaš vt ""to embroil""; H vt/vi ""to undertake sth. (Syrian)"".",vi,,,,VIII,
"balǣš 7,11,17",بلاش,blš,"""free of charge; to no avail"".",Brockett 1985,135,,62,,,,,"[74]; W lā-šaiʔ ""... nothing ...""",adv,,,,,ā > ǣ
"mballaṭ 7*,11*,12",مبلط,blṭ,"""spiced, kneaded dates"" with the stones left in.",Brockett 1985,136,,62,,,,fruit; palms,[514].,n,,,,,
"blāġa 1,7*,18*",بلاغة,blġ,"""a nose-ring"" for a girl/woman, passing through the skin between the nostrils.",Brockett 1985,137,,62,,,,,[58]; R 388.,n,,,,,check lex
"balam 1*,17*",بلم,blm,"""an animal's mouth-ulcers"" from sharp grass.",Brockett 1985,138,,63,,,,livestock,"H balama ""tumour on the lips"".",n,,,,,
"balandu 12,13*",بلنو,blnd,"""contagious pox"", lighter than gidari W, but sometimes fatal.",Brockett 1985,139,,63,,,,diseases,"Swahili mbalanga ""a skin disease, especially of the hands, which become covered with light- or dark-coloured patches ...""",n,,,,,
"blaywud 9,11*,30*",بليود,blywd,"""plywood"".",Brockett 1985,140,,63,,,,,[954]. English.,n,,,,,
"bangari*, pl. bnǣgri 30*",بنجري,bngr,"""a wrist-bangle"".",Brockett 1985,141,,63,,,,,"[1103]; R 83, 126; P; originally a ring of coloured glass worn on the wrist by women, HJ 60 (cf. [1170]).",n,,,,,ā > ǣ
"bannad, ybannid** 8,12,17",بند/ يبند,bnd,"""to stop, turn off, finish work"".",Brockett 1985,142,,63,,,,,"[115]; [§ 4.5 examples 7,8]; S bastan, imp. band, ""to bind, shut, close up ...""",v,,,,II,
"band 17*,20*",بند,bnd,"""a large, boundary-marking, earthen dyke, a bund"".",Brockett 1985,143,,63,,,,,"L 259 ""... dam ... (Persian)""; S; the English bund, a ""strike"" or ""embankment"", is also originally from Persian, rather than Sanskrit bandh, HJ 127.",n,,,,,
il-bender,البندر,bndr,"""the Khābūra fort"" 3; ""the market"" near the fort 7,17.",Brockett 1985,144,,63,,,,,"W ""seaport; commercial centre ...""; S ""... emporium, port ...""",name,,,,,
bandūri 16*,بنداري,bndr,"""an Army canvas knapsack"".",Brockett 1985,145,,63,,,,,"through English ""bandoleer""? or S bundūr ""pack-thread""?",n,,,,,
"bendaq, pl. bnǣdiq 17,30*",بندق,bndq,"""a rifle, gun"".",Brockett 1985,146,,63,,,,weapons,"R 421 ""shotgun""; W bunduqīya, pl. banādiq ""rifle, gun""; bunduqa, pl. banādiq ""hazlenut, filbert; bullet""; S bundūq ""musket""; some say that the word was originally Arabic for ""filberts imported from Venice (al-Bunduqiyya)"", and then that the name was transferred to the nut-like pellets shot from cross-bows, then to cross-bows themselves, and then to firearms, HJ 127.",n,,,,,ā > ǣ
"bannak**, ybennik",بنك/ يبنك,bnk,"""to be descended"" 17. ane mbennik min flēn 1 ""I am of x's lineage"", said only by a freeman.",Brockett 1985,147,,64,,,,,,vi,,,,II,check def ē
bink,بنك,bnk,"""a trunk"" 17; of people, ""stock"" 17. ane māḫuḏ il-mara hēḏi min flēn, binkha ṭayyib 1 ""I took this woman from x in marriage, [so] she's of good stock"".",Brockett 1985,148,,64,,,,,"W bunk ""root, core ... best part"".",n,,,,,check def ē
bēnik,بانك,bnk,"""an inborn trait"" 11*,12. bēnikhin ytǣwmin 14 ""it's in their genes to bear twins"".",Brockett 1985,149,,64,,,,,,n,,,,,check lex ē
"bhār 6,17*,26, pl. bihra 15 / bhur 26",بهار,bhr,"[§ 4.6 example 11] a large measure of dry weight, about 40--70 date-sacks' worth.",Brockett 1985,150,,64,,,,,"[572b]; [1215]; [1399]; [1493]; R 399 = 20 frāsle; L 266; P ""from Sanskrit""; HJ 47 Sanskrit bhāra ""a load"".",n,,,,,check lex
bhiš*,بهش,bhš,"""thick"". kalēm ir-rajil bhiš, matīn, kalēm il-mara šwayy wṣayyim 26 ""men's speech is thick, full, women's is a little thin"".",Brockett 1985,151,,64,,,,,"R 62 bhīš ""large"", of writing.",adj,,,,,check def ē
bho*,بهو,bhw,"""not at all"". A strong negative, often repeated. ma yġīb ʕalayya bho bho 30 ""it never ever remains hidden from me"".",Brockett 1985,152,,64,,,,,"Ḥarsūsi 'be-háwʔ' ""... never! (not) at all!"", 'be' here as a prep.; L 269 bahiya ""[the tent] was empty ...""; S baha ""far be it!""",adv,,,,,
"bu 3,17 / bo 15,30",بو,bw,"[a] indeclinable relative pronoun, cf. [25] ""which, who(ever)"" 12 [1027], 29 [544] mā šayy fīh ʔīdēn bu mā yinḍar 5 ""there are no branches on [the stripped vine] that don't leaf"". It is often used with il-leḏi, ġayz meʕ bu l-leḏi yiṭlaʕ 12 ""the flow of water that rises""; in-nēs l-leḏi bu waṭa fil-ḥāra 17 ""the people below in the village"". [b] ""pertaining to"" [§ 4.4 example 6]. [c] n. prefix ""possessor of"".",Brockett 1985,153,,64,,,,,[c] [3]; Wright 2 203.,pn,,,,,check def ē
"bobar 3,26*",بوبر,bwbr,"""a pumpkin"".",Brockett 1985,154,,64,,,,,,n,,,,,
būri* 30*,بوري,bwr,"""a small smoking-pipe"".",Brockett 1985,155,,65,,,,,"W ""trumpet, bugle"" (Turkish); S ""trumpet ...""",n,,,,,
"boš 16,17,23",بش,bwš,"[1474a] coll. ""camels"", as opposed to hoš ""sheep and goats"".",Brockett 1985,156,,65,,,,,"W ""mob, rabble""; L 2907 ""a large number of beasts of carriage"".",n,,,,,
"tbawwaq**, yitbawwaq*",تبوق/ يتبوق,bwq,"""to steal"". Denominative from [158]?",Brockett 1985,157,,65,,,,,"W būq ""... treachery ...""; L 276 I; H ""to lie"".",vt,,,,V,
"būq 1,29*",باق,bwq,"""a wallet, purse"".",Brockett 1985,158,,65,,,,,"S būġ ""... pouch"" (Turkish).",n,,,,,
"būma, pl. bwem 19,24",بامة,bwm,"[300] ""a pre-Islamic hill-top cairn; beehive-tomb"". The local inhabitants are adamant that they are not burial-mounds but look-outs or houses. They are often called bwem gihil ""ciarns of [the] Days of Ignorance"".",Brockett 1985,159,,65,,,,,"[966[l [1463]; R 15 ""entrenchment""; Swahili boma ""... earthwork, rampart, fort ...""; S būm ""garrison""; The word is probably originally Semitic, cf. Hebrew bāmāh ""high place"", BDB119. That in the Old Testament such places had a cultic, rather than military, use is indirect evidence that the Omani bwem were burial-mounds.",n,,,,,
būn,بان,bwn,"""origin"". Only as an adv. with prefix m/im (""from""), and possessive suffixes, ""formerly, originally"". mbūnhe 6 ""originally she ...""; imbūnhin 23 ""they (f.) used to ...""; mbūneh [251].",Brockett 1985,160,,65,,,,,"W ""interval, distance ...""; S.",n,,,,,
"bā, ybā 8,10,23 / yiba 6 / yebi {8,17} / ybe 12",به/ يبه/ يبي,by,"[§ 4.6 example 18] [a] ""to want, require"". [b] + imp., ""to be about to."" ... The fuller classical root with medial ġ, is rarely heard in Khābūra, and only in the less common persons like 1st. s. bġayt 6. ġ was not heard with 3rd s. With a noun of place it means ""to head for"" 2,6. ybā Sagṭara 27 ""he's heading for Socotra"". It often has an ethic dative, with or without l, ybā luh ... 8,20 ""it needs ...""; tebī lhi 8 tebīha 8 ""it needs ...""; tawi tbā lha ʕišrīn yom 17 ""a well needs twenty days [to dig]"". For its use as a future indicator see § 4.3.",Brockett 1985,161,,65,,,,,[§ 4.3 example 1]; R 225.,vt,,,,I,check lex
"bīb, pl. -ēt 5",بيب,byb,"[1698] ""a length of pipe"".",Brockett 1985,162,,66,,,,,W; English.,n,,,,,check lex ē
"bībi 3*,10",بيبى,byb,"""a wife"".",Brockett 1985,163,,66,,,,,R 26 only of slaves (because through Swahili?); S; HJ 78 notes that the presence of the word in Madagascar could hardly be as a loan from Persia or India.,n,,,,,
"bayt, pl. byūt 25*,28,29",بيت,byt,"[619] ""a cell in a honeycomb"".",Brockett 1985,164,,66,,,,,,n,,,,,
"bīdār, pl. byādīr 9,12,13*",بيدار,bydr,"[1026] ""a hired date-palm-worker"".",Brockett 1985,165,,66,,,,,"[55]; R 126 from Persian; but S ""... awake, attentive"".",n,,,,,ā > ā
baydára 12,بيدارة,bydr,"""the craft/work of a bīdār"".",Brockett 1985,166,,66,,H'LL,,,Wilkinson 119 badāra.,n,,,,,
"bīr, pl. abyār 1",بير,byr,"""a well"".",Brockett 1985,167,,66,,,,,W pl. ābār/biʔār; L 281.,n,,,,,ā > ā
"bayseri, pl. byāsra 7,13*,17",بيسري,bysr,"""a tribeless man; vassal"". It is a strong insult to call someone such.",Brockett 1985,168,,66,,,,,"R 73 bēsar, pl. beyāsör, ""freed slave""; Jb 844 ""half-caste""; S bī-sar ""headless ...""; P besar ""mule"".",n,,,,,ā > ā
tītūn* 30,تيتان,ttn,"""small, tiny"".",Brockett 1985,169,,66,,,,,"R 190 tetūn; Jb 847 tutūn ""an infant""; Swahili mtoto ""anything young or small"".",adj,,,,,
"twǣṯi 9*,17,30*",تواثي,tṯy,"[926] ""fireplace-stones"", for cooking on.",Brockett 1985,170,,66,,,,,[620].,n,,,,,ā > ǣ
"tirbǣl 12,13*",تربال,trbl,"""tarpaulin"".",Brockett 1985,171,,66,,,,,"English; Nautical Kuwaiti ṭirbāl ""awning"", a modern term.",n,,,,,ā > ǣ
"taras, yitris, it-tars 7,15,20",ترس/ يترس/ اترس,trs,"""to fill (up)"". The verbal noun can be used adverbially, twellefu tars 17 ""[the troops] gathered together in a body"".",Brockett 1985,172,,66,,,,,[998b]; [1466]; W tariʕa; H vt Egyptian.,v,,,,I,
"tarras, ytarris* 28",ترس/ يترس,trs,"""to fill"".",Brockett 1985,173,,67,,,,,,vt,,,,II,
"teraʕ, yitraʕ, it-teraʕ 1,13*",ترع/ يترع/ اترع,trʕ,"""to burp"". min teraʕ gāl al-ḥamd lillāh 1 ""someone who burps says, praise be to God"".",Brockett 1985,174,,67,,,,,"W ""to be full"", root krʕ stem V.",vi,,,,I,
"tarīke, pl. trāyik 7,11",تريكة,trk,"""a new widow"", still within the legal waiting-period of four months and ten days, during which she is not even allowed to see a man. After that she is called armíle.",Brockett 1985,175,,67,,,,,"W ""old maid, spinster"".",n,,,,,ā > ā
"tšinko 1*,7*,9",تشنكو,tšnk,"""corrugated iron/zinc roofing"".",Brockett 1985,176,,67,,,,,"W zīnkō ""zinc"". English?",n,,,,,
"taʕʕ, ytuʕʕ 7,17",تعع/ يتعع,tʕʕ,"""to pull"", e.g. a reluctant goat.",Brockett 1985,177,,67,,,,,"[722]; [941]; [1320]; [1550]; L 307 taʕtaʕa ""... to drag so. roughly ...""",vt,,,,I,
"taftaf, ytiftif 7,17",تفتف/ يتفتف,tftf,"""to tear"", e.g. paper; ""to pound"" something, e.g. with a stone.",Brockett 1985,178,,67,,,,,,vt,,,,I,
"tafaq, pl. tfāq 17,30",تفق,tfq,"""a gun"".",Brockett 1985,179,,67,,,,,"Jb 843 ""a matchlock"", from Persian; W tufka pl. tufak (Iraq); S tufak/tufang ""musket"".",n,,,,,check lex
"telef, yitlif 7",تلف/ يتلف,tlf,"""to break"" something",Brockett 1985,180,,67,,,,,W vi.,vt,,,,I,
"intalaf**, yintilif",انتلف/ ينتلف,tlf,"""to break, get broken"". il-imseggel yintilif 7 ""the tape-recorder would break [if you dropped it]"".",Brockett 1985,181,,67,,,,,,vi,,,,VII,
"temm, ytemm",تمم/ يتمم,tmm,"[a] auxiliary verb 12 ""to keep on"" doing something. temm yiqra 17 ""he carried on reading""; ytemmu yṭablu 7 ""they go on and on drumming"". [b] vi ""to remain, last, stay"". ytem fiṭ-ṭarīq ṯemēn iyyēm 16 ""he's on the road for eight days [to reach Abu Dhabi]""; il-beḏer hēḏe ytemm ḥidaʕšar sena 2 ""these seeds will last eleven years""; atemm yomayn maʕakum intu 30 ""I'll stay a couple of days with you"".",Brockett 1985,182,,67,,,,,[a] W tamma ʕalā. [b] Jb 861.,v,,,,I,check def ē
tanak,تنك,tnk,"[a] 11 ""a metal cylinder"", e.g. for Calor gas. = [1264]. [b] *30 ""tin"", material and container.",Brockett 1985,183,,68,,,,,"[b] [1334]; [1346]; R 42 material; Jb 873 through Hindi from English (but absent from P); W ""tin-plate"", tanaka ""tin-container""; HJ 898 tank ""a reservoir ..."", of dual origin, Indian and European.",n,,,,,
"toḥ 7,17",تح,twḥ,"[a] ""a pleasant smell"". [b] ""a pretty woman"".",Brockett 1985,184,,68,,,,,,n,,,,,
"tām?**, ytūm?**",تام/ يتام,twm,"""to bear twins"". mā šayy minhin ytawmin 22 ""none of [our goats] have twins"".",Brockett 1985,185,,68,,,,,L 292 root tʔm stem IV.,vi,,,,I,-
"tāwam**, ytāwim** 12,14,23",تاوم/ يتاوم,twm,= I. [149],Brockett 1985,186,,68,,,,,,vi,,,,III,check lex
"twām 14,23,24",توام,twm,"""twins"".",Brockett 1985,187,,68,,,,,W tawāʔim.,n,,,,,ā > ā
"taww 12,22",تو,tww,"[741]; [337] ""now, recently"" (not so immediate as W). layn taww 5 ""up till now. It can take verbal pronominal suffixes, tawwhē zēhi 29 ""it's flowering now"".",Brockett 1985,188,,68,,,,,[118]; R 26.,adv,,,,,check def ē
tēwa 1,تاوة,twy,"""a vessel"" for cooking over a fire.",Brockett 1985,189,,68,,,,,"S tāwā ""frying-pan, skillet"".",n,,,,,check lex ē
"tayyat**, ytayyit** 7,12*,17",تيت/ يتيت,tyt,"""to tighten"" something, e.g. a screw.",Brockett 1985,190,,68,,,,,[382b]; English.,vt,,,,II,
"tīzēb 11*,13*",تيزاب,tyzb,"""car battery-acid"".",Brockett 1985,191,,68,,,,,"EADS 56 ""acid"" Persian; S ""aquafortis"".",n,,,,,check lex ē
"tays, pl. tyūsa 1,7,23",تيس,tys,"[1248] ""a he-goat"".",Brockett 1985,192,,68,,,,,W pl. tuyūs.,n,,,,,
tīfēn,تيفان,tyfn,"""a season"". = mosem. tīfēn ir-rubuʕ 1 ""autumn"".",Brockett 1985,193,,68,,,,,[972].,n,,,,,check lex ē
"ṯebet, yiṯbit",ثبت/ يثبت,ṯbt,"=+ ʕind ""to be someone's proof"". hēḏe r-raṣīd yiṯbit ʕinduk 11 ""this receipt is your proof"".",Brockett 1985,194,,69,,,,,"L 328 ""... to become established fact with so. ...""",vi,,,,I,check def ē
ṯibēt 11,ثبات,ṯbt,"""a written legal receipt"".",Brockett 1985,195,,69,,ā > ē,,,"[335b]; W iṯbāt ""... proof ... documentation.""",n,,,,,ā > ē
ṯer 23 / ṯar 30,ثر,ṯt,"""a foot-/hoof-print"".",Brockett 1985,196,,69,,,,,W aṯar.,n,,,,,
"ṯaqal 1,11",ثقل,ṯql,"""an animal's afterbirth"".",Brockett 1985,197,,69,,,,,"W ""load"".",n,,,,,
"ṯilṯ 11,20 / ṯelṯ 25",ثلث,ṯlṯ,"""[the] third cut of a new lucerne-plant"".",Brockett 1985,198,,69,,,,,"[123]; L 347 ""the third offspring ...""",n,,,,,
yom iṯ-ṯulūṯ 1,يوم الثلاث,ṯlṯ,"""Tuesday"". A variant of yom iṯ-ṯilǣṯe, W.",Brockett 1985,199,,69,,,,,[574].,n,,,,,check def ǣ
ṯem 30,ثم,ṯm,"""a mouth"". iz-zūʕ miṯ-ṯem 12 ""vomit comes out of the mouth"". But 29 said fim, W.",Brockett 1985,200,,69,,,,,R 22.,n,,,,,
"ṯemra 8,20",ثمرة,ṯmr,"""a flower"". il-kīfe el-leḏi ṭalaʕat minhe ṯ-ṯemra 1 ""the date-palm-spathe out of which rises the [male] flower"". The pan-Arabic meaning ""fruit"" W, is also used.",Brockett 1985,201,,69,,,,,,n,,,,,
"ṯannay**, yṯanni**",ثني/ يثني,ṯny,"""to go back"". A bedu word according to 17; not known by 7.",Brockett 1985,202,,69,,,,,"R 289; W ""to double sth. ...""",vi,,,,II,
ṯnayn / hintayn,ثنين/ هنتين,ṯny,"""two"" with f. noun 6 [1394], 5 [§ 4.6 example 8]; 12 sēʕa hintayn 15 ""at two o'clock"". ṯnayne with m. noun. nefer ṯnayne ysidduh 6 ""two men are enough for it""; iṯnayne 12,20 ""two men""; iṯnayne šahr 15 ""two months"".",Brockett 1985,203,,69,,,,,,q,,,,,check def ē
"ṯenu 9,21,25",ثنى,ṯny,"""[the] second cut of a new lucerne-plant"".",Brockett 1985,204,,70,,,,,[123].,n,,,,,
"ṯoy, pl. ṯiyyēn 1",ثوي,ṯwg,"""a palm-leaf/ġaḍaf basket"" for donkey-loads, e.g. of dung. Larger than a sack.",Brockett 1985,205,,70,,,,,"[56]; H ṯawg ""basket for carrying earth"".",n,,,,,check lex ē
"ṯār, yṯūr",ثار/ يثور,ṯwr,"[a] ""to stand up"", not suddenly 22*,30. yom tʕaqilha mā trūm tṯūr 23 ""when you put the ʕiqāl on her (a camel), she can't stand up"".",Brockett 1985,206,,70,,,,,"[a] [1113]. [b] W ""... to swirl up, raise (dust) ..."", fāra u ""to boil ... well forth ...""",vi,,,,I,ā > ā
"ṯawwar**, yṯawwar",ثور/ يثور,ṯwr,"""to boil"". yṯawwar fog in-nār 9 ""it boils on the fire"".",Brockett 1985,207,,70,,,,,Jb 821; W fawwar.,vi,,,,II,
"naym il-yǣh 3,12*",نيم الياة,gʔh,"""the star Gāh"", the zodiac sign Cancer, rising in the north opposite Canopus.",Brockett 1985,208,,70,,,,,"Swahili jaa ""compass point north""; An Historical Atlas of Islam, ed. W.C.Brice, London 1981, pp. 2,3 ""al-djāh - α of Ursa Minor"" (i.e. Polaris, the Pole-star). Known more usually to the astronomers as ""al-jady"", L 393.",n,,,,,ā > ǣ
"gēhi 11*,12",جاهي,gʔh,"""a north-wind"", i.e. from the direction of [208].",Brockett 1985,209,,70,,ā > ē,,,[1566].,n,,,,,ā > ē
"gebel 12,17",جبل,gbl,"""rock, rocky ground"". arḍ il-Bāṭna mā fīhe gebel 20 ""Bāṭina-soil isn't rocky"".",Brockett 1985,210,,70,,,,,"W ""mountain ...""",n,,,,,
gebhe 8,جبهى,gbh,"""[the] top of the gāzra-derrick"".",Brockett 1985,211,,70,,,,,"W ""... brow ...""",n,,,,,
"gibi, pl. gbǣ 17,20* / gbā 29*",جبى,gby,"""a mountain-pool"".",Brockett 1985,212,,70,,,,,"[410b]; [1317]; L 378 jaban ""... a watering-trough ...""",n,,,,,ā > ǣ
"gābye, pl. gwābi 17",جابية,gby,= [212].,Brockett 1985,213,,70,,,,,"Jb 872 ""tank""; L 379 ""watering-trough ...""",n,,,,,check lex
yiṯīl 7,يثيل,gṯl,"""stout, thickset"".",Brockett 1985,214,,71,,,,,"R 4 gṯīl; W jaṯl ""thick, dense (especially hair)"".",adj,,,,,
geṯem* 29*,جثم,gṯm,"""frost; snow"".",Brockett 1985,215,,71,,,,,"R 4 gāṯum ""frozen"".",n,,,,,
"guḥḥ 17,21 / yuḥḥ 3",جحح/ يحح,gḥḥ,"""a water-melon"".",Brockett 1985,216,,71,,ǧ > g,,,[114].,n,,,,,
"gaḥle, pl. gaḥǣl 25,30",جحلة,gḥl,"[§ 6 example 15] ""an unglazed, spheroid water-pot"" suspended from its neck, allowing some water to seep through and evaporate and so cool the remainder inside.",Brockett 1985,217,,71,,,,,"[225]; H gaḥl, pl. giḥāl ""large water-skin"".",n,,,,,ā > ǣ
